step,time,loss,acc
50,2019-10-26T16:45:23.259767,5.969580e-01,7.109375e-01
100,2019-10-26T16:46:41.570283,5.478324e-01,6.953125e-01
150,2019-10-26T16:47:59.862097,3.889667e-01,8.203125e-01
200,2019-10-26T16:49:17.560264,3.757714e-01,8.359375e-01
250,2019-10-26T16:50:36.383659,4.541299e-01,7.890625e-01
300,2019-10-26T16:51:54.478479,2.749976e-01,8.671875e-01
350,2019-10-26T16:53:11.893502,4.087380e-01,8.281250e-01
400,2019-10-26T16:54:29.343624,3.789434e-01,8.515625e-01
450,2019-10-26T16:55:46.859563,3.828030e-01,8.203125e-01
500,2019-10-26T16:57:04.316147,2.942389e-01,8.750000e-01
550,2019-10-26T16:58:23.000122,2.779261e-01,8.906250e-01
600,2019-10-26T16:59:40.825376,2.428558e-01,8.750000e-01
650,2019-10-26T17:00:58.237996,2.972682e-01,8.515625e-01
700,2019-10-26T17:02:15.547356,1.773723e-01,9.062500e-01
750,2019-10-26T17:03:32.793156,2.075886e-01,9.375000e-01
800,2019-10-26T17:04:50.134783,1.677946e-01,9.218750e-01
850,2019-10-26T17:06:06.983734,1.945483e-01,9.296875e-01
900,2019-10-26T17:07:24.234107,2.438454e-01,8.984375e-01
950,2019-10-26T17:08:41.100766,2.490993e-01,9.296875e-01
1000,2019-10-26T17:09:57.918917,2.380039e-01,8.984375e-01
1050,2019-10-26T17:11:16.456698,1.485859e-01,9.609375e-01
1100,2019-10-26T17:12:33.454878,2.918183e-01,8.593750e-01
1150,2019-10-26T17:13:50.172775,2.246660e-01,9.218750e-01
1200,2019-10-26T17:15:07.145228,1.965464e-01,9.296875e-01
1250,2019-10-26T17:16:24.530841,2.719307e-01,9.140625e-01
1300,2019-10-26T17:17:41.426668,1.690054e-01,9.375000e-01
1350,2019-10-26T17:18:58.110588,2.150457e-01,9.140625e-01
1400,2019-10-26T17:20:14.720470,1.561060e-01,9.453125e-01
1450,2019-10-26T17:21:31.262266,1.141979e-01,9.687500e-01
1500,2019-10-26T17:22:47.918064,2.127671e-01,9.218750e-01
1550,2019-10-26T17:24:06.341681,2.201335e-01,9.062500e-01
1600,2019-10-26T17:25:23.373470,2.386532e-01,8.984375e-01
1650,2019-10-26T17:26:38.919395,1.688272e-01,9.140625e-01
1700,2019-10-26T17:27:54.783612,1.558923e-01,9.218750e-01
1750,2019-10-26T17:29:11.247272,1.708123e-01,9.218750e-01
1800,2019-10-26T17:30:27.835993,1.295540e-01,9.453125e-01
1850,2019-10-26T17:31:44.749958,9.475001e-02,9.687500e-01
1900,2019-10-26T17:33:01.612394,1.279272e-01,9.218750e-01
1950,2019-10-26T17:34:18.034079,1.110419e-01,9.453125e-01
2000,2019-10-26T17:35:34.880490,1.307552e-01,9.531250e-01
2050,2019-10-26T17:36:53.084913,1.047921e-01,9.687500e-01
2100,2019-10-26T17:38:09.760482,1.715417e-01,9.375000e-01
2150,2019-10-26T17:39:26.199988,2.063928e-01,9.296875e-01
2200,2019-10-26T17:40:43.432499,1.061805e-01,9.687500e-01
2250,2019-10-26T17:42:00.691570,1.668177e-01,9.375000e-01
2300,2019-10-26T17:43:17.829971,1.329392e-01,9.687500e-01
2350,2019-10-26T17:44:34.788330,2.107389e-01,9.218750e-01
2400,2019-10-26T17:45:51.495250,1.545956e-01,9.453125e-01
2450,2019-10-26T17:47:08.133437,1.887652e-01,9.218750e-01
2500,2019-10-26T17:48:24.520563,1.493670e-01,9.453125e-01
2550,2019-10-26T17:49:41.697510,1.632983e-01,9.375000e-01
2600,2019-10-26T17:50:58.035506,1.597251e-01,9.218750e-01
2650,2019-10-26T17:52:14.479438,2.356915e-01,9.453125e-01
2700,2019-10-26T17:53:31.071291,1.696979e-01,9.296875e-01
2750,2019-10-26T17:54:48.074642,1.069159e-01,9.609375e-01
2800,2019-10-26T17:56:04.646803,1.482584e-01,9.531250e-01
2850,2019-10-26T17:57:21.644737,1.663331e-01,9.453125e-01
2900,2019-10-26T17:58:37.710647,1.176327e-01,9.765625e-01
2950,2019-10-26T17:59:54.077649,1.422704e-01,9.609375e-01
3000,2019-10-26T18:01:10.289504,1.053782e-01,9.765625e-01
3050,2019-10-26T18:02:27.641472,1.730117e-01,9.296875e-01
3100,2019-10-26T18:03:43.912683,1.628772e-01,9.531250e-01
3150,2019-10-26T18:05:00.164058,7.297755e-02,9.765625e-01
3200,2019-10-26T18:06:16.693051,1.405268e-01,9.609375e-01
3250,2019-10-26T18:07:33.217962,1.816911e-01,9.218750e-01
3300,2019-10-26T18:08:49.373415,2.051764e-01,9.140625e-01
3350,2019-10-26T18:10:06.212526,1.080413e-01,9.531250e-01
3400,2019-10-26T18:11:22.837944,1.033424e-01,9.609375e-01
3450,2019-10-26T18:12:39.635661,1.250612e-01,9.609375e-01
3500,2019-10-26T18:13:56.124340,7.486194e-02,9.765625e-01
3550,2019-10-26T18:15:13.866713,1.003897e-01,9.531250e-01
3600,2019-10-26T18:16:30.764484,1.403240e-01,9.375000e-01
3650,2019-10-26T18:17:47.797070,2.340378e-01,9.296875e-01
3700,2019-10-26T18:19:04.643048,1.755726e-01,9.140625e-01
3750,2019-10-26T18:20:21.847731,1.425951e-01,9.453125e-01
3800,2019-10-26T18:21:38.701790,1.637538e-01,9.218750e-01
3850,2019-10-26T18:22:55.534569,1.071855e-01,9.453125e-01
3900,2019-10-26T18:24:12.773363,6.834944e-02,9.765625e-01
3950,2019-10-26T18:25:30.168709,9.451327e-02,9.531250e-01
4000,2019-10-26T18:26:47.086894,6.345659e-02,9.843750e-01
4050,2019-10-26T18:28:04.769597,7.824969e-02,9.921875e-01
4100,2019-10-26T18:29:21.900169,2.195307e-01,9.062500e-01
4150,2019-10-26T18:30:38.919333,9.828251e-02,9.687500e-01
4200,2019-10-26T18:31:55.748726,1.066271e-01,9.687500e-01
4250,2019-10-26T18:33:12.629363,1.177332e-01,9.687500e-01
4300,2019-10-26T18:34:29.718324,5.353989e-02,9.843750e-01
4350,2019-10-26T18:35:47.009241,1.521937e-01,9.609375e-01
4400,2019-10-26T18:37:03.750070,1.065908e-01,9.453125e-01
4450,2019-10-26T18:38:20.944937,3.395572e-02,1.000000e+00
4500,2019-10-26T18:39:38.290434,1.183224e-01,9.296875e-01
4550,2019-10-26T18:40:57.055299,1.146778e-01,9.687500e-01
4600,2019-10-26T18:42:14.821346,1.507931e-01,9.531250e-01
4650,2019-10-26T18:43:32.492439,1.493223e-01,9.453125e-01
4700,2019-10-26T18:44:49.966732,7.287717e-02,9.531250e-01
4750,2019-10-26T18:46:07.787399,1.037242e-01,9.531250e-01
4800,2019-10-26T18:47:24.783913,5.487264e-02,9.765625e-01
4850,2019-10-26T18:48:41.444051,8.867279e-02,9.765625e-01
4900,2019-10-26T18:49:58.441374,5.656137e-02,9.921875e-01
4950,2019-10-26T18:51:15.145972,1.480789e-01,9.453125e-01
5000,2019-10-26T18:52:31.413192,1.200185e-01,9.531250e-01
5050,2019-10-26T18:53:49.241059,8.502990e-02,9.765625e-01
5100,2019-10-26T18:55:06.114397,1.246528e-01,9.453125e-01
5150,2019-10-26T18:56:23.276809,1.499041e-01,9.609375e-01
5200,2019-10-26T18:57:40.150386,1.291991e-01,9.453125e-01
